
Quadro extraído em 10 de Setembro de 2025 (01:23:04)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Incêndios rurais (N.º) por Localização geográfica (NUTS - 2024) e Tipo de causa de incêndio -  Anual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2024;;;;;;;2023;;;;;;;2022;;;;;;;2021;;;;;;;2020;;;;;;;2019;;;;;;;2018;;;;;;;2017;;;;;;;2016;;;;;;;2015;;;;;;;2014;;;;;;;2013;;;;;;;2012;;;;;;;2011;;;;;;;2010;;;;;;;
;Tipo de causa de incêndio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;Total;Negligência;Intencional;Naturais;Reacendimentos;Indeterminadas;Não investigados;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
111: Alto Minho;626 &;249 &;261 &;2 &;101 &;13 &;0 &;629;370;219;0;26;14;0;779;407;248;8;78;38;0;563;330;161;3;33;33;3;606;222;268;0;91;25;0;556;238;168;1;113;36;0;893;440;233;0;129;53;38;1163;441;481;0;214;27;0;1108;352;432;2;307;10;5;1321;461;622;0;229;2;7;382;178;165;0;36;0;3;1882;632;754;0;455;37;4;1331;431;483;1;146;84;186;2428;521;579;3;538;21;766;2269;545;856;4;856;8;0;
112: Cávado;232 &;75 &;86 &;0 &;32 &;39 &;0 &;252;120;70;1;15;45;1;341;71;104;2;32;132;0;205;54;53;0;20;78;0;373;51;116;0;25;181;0;316;73;35;1;20;170;17;485;131;23;0;64;193;74;636;140;82;2;81;273;58;568;52;80;2;90;264;80;641;102;67;0;84;260;128;221;54;37;0;29;60;41;762;125;113;0;137;236;151;682;207;73;1;117;152;132;1279;89;134;0;282;64;710;851;90;44;1;68;96;552;
119: Ave;368 &;147 &;147 &;1 &;45 &;28 &;0 &;468;202;173;3;39;50;1;733;316;264;4;88;61;0;480;287;106;5;22;59;1;483;173;163;1;47;99;0;520;180;157;6;62;115;0;697;197;43;0;62;373;22;1306;228;249;0;203;313;313;1044;116;146;1;126;232;423;1217;195;151;3;147;301;420;389;148;81;0;44;104;12;1253;279;178;1;158;168;469;1434;388;163;4;175;149;555;1972;163;135;1;278;104;1291;1430;139;76;1;136;141;937;
11A: Área Metropolitana do Porto;814 &;126 &;40 &;0 &;66 &;507 &;75 &;1072;159;21;1;40;677;174;1529;187;41;0;52;1045;204;1015;229;56;3;39;596;92;1694;170;30;0;62;635;797;1362;162;15;0;86;498;601;1979;247;12;0;128;522;1070;2999;156;31;1;155;740;1916;2429;482;26;0;134;454;1333;2577;311;45;1;181;443;1596;1116;172;44;0;26;192;682;3897;920;56;0;422;487;2012;4000;723;41;0;650;519;2067;5226;799;41;2;1193;736;2455;4752;141;12;1;262;1437;2899;
11B: Alto Tâmega e Barroso;295 &;165 &;94 &;1 &;27 &;7 &;1 &;317;254;39;3;16;5;0;611;404;102;20;41;41;3;447;340;60;10;17;18;2;424;264;109;9;25;16;1;431;303;84;12;15;14;3;471;303;106;10;28;13;11;957;581;264;5;68;33;6;725;424;232;2;50;14;3;977;583;246;8;49;13;78;378;223;128;1;14;8;4;864;244;183;5;130;29;273;1207;451;290;4;107;43;312;1557;659;188;10;111;34;555;892;322;105;7;113;42;303;
11C: Tâmega e Sousa;894 &;85 &;182 &;0 &;47 &;579 &;1 &;878;158;103;0;37;580;0;1608;219;177;3;50;1159;0;903;219;133;9;29;513;0;1344;142;244;1;158;795;4;1098;229;106;3;126;633;1;1400;271;109;1;141;645;233;2944;288;291;2;427;1344;592;2699;540;278;0;284;913;684;2593;766;632;0;408;711;76;831;222;196;0;47;98;268;3754;906;826;2;368;629;1023;3013;773;704;0;314;348;874;4017;877;766;1;524;574;1275;3904;448;294;2;535;701;1924;
11D: Douro;233 &;122 &;71 &;2 &;25 &;11 &;2 &;266;138;76;14;13;25;0;436;255;112;9;37;19;4;377;219;120;11;14;9;4;339;170;107;8;19;19;16;547;227;214;21;26;38;21;775;430;158;23;41;114;9;1084;471;295;11;68;185;54;639;231;166;5;43;168;26;855;352;233;18;63;122;67;439;257;101;7;9;51;14;964;328;252;9;126;93;156;1399;606;275;15;126;140;237;1423;651;262;13;130;152;215;877;282;217;13;96;98;171;
11E: Terras de Trás-os-Montes;98 &;48 &;16 &;6 &;1 &;26 &;1 &;104;79;6;3;3;13;0;235;149;14;24;8;34;6;156;89;15;6;1;44;1;225;108;32;10;11;52;12;266;119;59;17;7;59;5;403;221;44;13;29;93;3;657;369;60;19;40;161;8;303;139;36;9;21;98;0;479;263;47;25;33;110;1;285;199;29;5;7;41;4;390;162;45;9;16;95;63;852;374;29;3;0;111;335;808;332;49;2;28;58;339;434;107;31;1;9;48;238;
191: Região de Aveiro;230 &;55 &;101 &;0 &;6 &;66 &;2 &;290;97;73;2;13;105;0;258;69;70;1;12;106;0;243;95;70;0;7;71;0;320;55;75;0;20;170;0;380;104;62;0;44;168;2;432;100;15;0;40;276;1;875;135;63;0;110;567;0;541;69;79;0;90;303;0;655;170;102;2;53;328;0;277;50;57;0;9;161;0;795;106;91;3;150;419;26;1017;311;109;0;157;435;5;1340;352;130;0;303;544;11;1226;44;94;0;56;814;218;
192: Região de Coimbra;163 &;49 &;92 &;1 &;1 &;20 &;0 &;277;94;151;5;3;24;0;449;165;221;5;13;45;0;167;75;54;12;2;24;0;246;105;95;5;6;35;0;356;159;118;10;13;55;1;309;163;77;4;5;52;8;799;266;315;4;90;102;22;487;201;171;12;35;68;0;651;322;144;16;32;114;23;396;187;126;1;11;69;2;901;331;325;15;38;170;22;1182;514;315;4;49;226;74;1078;495;268;14;32;214;55;932;231;215;17;77;225;167;
193: Região de Leiria;132 &;62 &;55 &;2 &;4 &;9 &;0 &;171;79;60;1;9;22;0;241;104;104;1;17;15;0;144;72;48;1;2;21;0;225;63;102;1;13;46;0;284;82;98;2;15;87;0;230;87;48;0;4;91;0;460;118;135;2;37;164;4;321;79;100;4;11;127;0;457;176;82;1;37;150;11;211;99;36;5;8;62;1;413;163;97;0;25;127;1;681;265;101;2;91;221;1;580;217;31;3;51;253;25;435;195;46;7;33;151;3;
