
Quadro extraído em 10 de Setembro de 2025 (01:28:53)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Incêndios rurais (N.º) por Localização geográfica (NUTS - 2024) e Dimensão do incêndio -  Anual;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2024;;;;;;;;;2023;;;;;;;;;2022;;;;;;;;;2021;;;;;;;;;2020;;;;;;;;;2019;;;;;;;;;2018;;;;;;;;;2017;;;;;;;;;2016;;;;;;;;;2015;;;;;;;;;2014;;;;;;;;;2013;;;;;;;;;2012;;;;;;;;;2011;;;;;;;;;2010;;;;;;;;;
;Dimensão do incêndio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;Total;< 1 ha;1 - < 10 ha;10 - < 20 ha;20 - < 50 ha;50 - < 100 ha;100 - < 500 ha;500 - < 1 000 ha;>= 1 000 ha;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
111: Alto Minho;626 &;437 &;143 &;11 &;21 &;7 &;6 &;0 &;1 &;629;463;130;14;9;6;7;0;0;779;540;177;27;18;8;8;0;1;563;411;108;17;18;6;3;0;0;606;470;92;16;13;7;8;0;0;556;446;73;14;16;4;2;1;0;893;724;134;22;7;4;2;0;0;1163;857;234;29;24;7;9;2;1;1109;827;209;16;11;18;19;3;6;1321;970;292;20;18;9;9;0;3;382;314;58;2;6;0;2;0;0;1882;1377;412;27;33;7;19;6;1;1331;983;291;28;21;7;1;0;0;2428;1864;488;35;26;7;8;0;0;2269;1527;550;63;61;25;32;7;4;
112: Cávado;232 &;176 &;38 &;5 &;6 &;6 &;1 &;0 &;0 &;254;196;39;7;6;4;2;0;0;341;285;35;7;7;7;0;0;0;205;167;28;8;1;1;0;0;0;373;312;43;6;7;3;2;0;0;316;255;38;8;13;0;2;0;0;487;375;83;11;14;2;2;0;0;637;473;134;10;14;2;4;0;0;569;432;108;8;11;3;6;0;1;647;489;121;16;14;4;2;1;0;224;192;28;3;1;0;0;0;0;776;596;122;21;21;8;8;0;0;692;573;93;11;7;2;5;0;1;1281;1018;206;30;16;9;2;0;0;856;699;122;7;11;10;3;2;2;
119: Ave;368 &;256 &;75 &;11 &;11 &;2 &;8 &;2 &;3 &;468;313;111;23;12;7;2;0;0;733;517;155;22;19;7;12;1;0;480;325;109;19;19;5;3;0;0;483;377;78;8;14;2;3;1;0;520;403;96;10;8;1;2;0;0;697;562;117;5;10;0;3;0;0;1306;928;293;30;29;13;10;0;3;1044;762;209;23;21;8;18;1;2;1217;839;313;28;15;15;7;0;0;390;322;60;4;2;2;0;0;0;1269;911;275;22;25;14;21;0;1;1440;1054;296;35;28;13;14;0;0;1975;1518;390;23;27;9;7;1;0;1433;1073;278;27;29;16;8;2;0;
11A: Área Metropolitana do Porto;814 &;755 &;48 &;2 &;4 &;1 &;2 &;0 &;2 &;1072;1002;57;3;6;3;1;0;0;1529;1402;100;12;4;6;4;0;1;1015;948;58;3;4;1;1;0;0;1694;1583;82;15;8;3;2;1;0;1362;1300;51;5;4;0;2;0;0;1979;1894;77;5;2;1;0;0;0;3003;2776;187;12;10;8;9;0;1;2431;2192;165;23;22;12;12;3;2;2580;2392;161;11;6;3;7;0;0;1116;1068;42;3;2;0;1;0;0;3897;3550;282;21;27;7;9;1;0;4000;3726;231;23;17;0;3;0;0;5226;4835;355;15;12;6;2;1;0;4752;4404;279;24;22;7;11;2;3;
11B: Alto Tâmega e Barroso;295 &;208 &;60 &;10 &;6 &;2 &;4 &;1 &;4 &;317;205;73;13;19;5;2;0;0;611;415;124;27;20;11;10;2;2;447;279;106;19;21;18;4;0;0;425;312;85;9;10;3;5;0;1;431;305;93;17;10;5;0;1;0;471;355;102;9;5;0;0;0;0;960;545;332;33;21;13;12;3;1;726;419;256;9;14;11;12;3;2;977;543;378;22;15;9;10;0;0;378;246;122;5;3;1;1;0;0;866;507;304;17;11;6;11;5;5;1207;672;476;21;21;11;4;2;0;1557;822;631;36;29;17;15;6;1;892;569;267;13;13;8;17;2;3;
