
Quadro extraído em 11 de Setembro de 2025 (17:25:31)
http://www.ine.pt



Localização geográfica (NUTS - 2024);Pessoal ao serviço (N.º) como sapadores florestais por Localização geográfica (NUTS - 2024) -  Anual;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;
;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
111: Alto Minho;144;140;135;135;130;130;130;120;115;110;110;115;115;115;115;
112: Cávado;54;56;55;55;55;55;50;40;40;40;40;40;40;40;35;
119: Ave;97;95;95;95;95;90;80;55;50;50;50;50;50;55;60;
11A: Área Metropolitana do Porto;63;65;60;60;60;60;60;60;50;50;50;50;55;55;55;
11B: Alto Tâmega e Barroso;189;190;185;185;185;175;140;95;95;95;95;100;100;100;100;
11C: Tâmega e Sousa;81;82;85;85;80;80;70;55;50;50;50;55;55;55;60;
11D: Douro;94;96;95;95;90;90;80;75;70;70;70;60;70;70;65;
11E: Terras de Trás-os-Montes;112;103;85;75;70;70;60;35;40;40;40;40;40;40;35;
191: Região de Aveiro;22;20;20;20;25;25;25;20;20;20;20;20;20;20;20;
192: Região de Coimbra;194;194;190;190;190;185;170;125;130;125;125;125;145;140;140;
193: Região de Leiria;78;77;70;70;80;80;80;65;60;60;60;60;65;65;65;
194: Viseu Dão Lafões;155;164;170;170;175;165;150;110;105;105;105;105;110;105;105;
195: Beira Baixa;124;116;120;110;120;115;95;85;75;70;75;75;75;75;75;
196: Beiras e Serra da Estrela;240;232;225;220;225;220;205;165;160;150;150;155;160;175;180;
1D1: Oeste;35;37;45;50;45;45;40;25;30;25;25;30;35;35;30;
1D2: Médio Tejo;113;112;115;115;115;110;85;60;65;65;65;65;65;65;60;
1D3: Lezíria do Tejo;38;40;40;40;55;55;55;25;25;20;20;25;25;25;20;
1A0: Grande Lisboa;34;28;25;25;25;25;25;20;20;20;20;20;25;25;25;
1B0: Península de Setúbal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1C1: Alentejo Litoral;34;35;30;30;30;20;15;10;10;5;10;10;10;5;10;
1C2: Baixo Alentejo;27;27;25;25;25;25;25;25;25;25;25;25;25;25;25;
1C3: Alto Alentejo;102;103;105;105;105;105;85;65;65;60;65;65;65;65;65;
1C4: Alentejo Central;16;14;15;15;15;15;15;15;15;15;15;15;15;15;15;
150: Algarve;84;78;75;75;65;70;65;55;40;40;40;40;45;35;25;
2: Região Autónoma dos Açores;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;
3: Região Autónoma da Madeira;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;x x;

Pessoal ao serviço (N.º) como sapadores florestais por Localização geográfica (NUTS - 2024) -  Anual - Instituto da Conservação da Natureza e das Florestas


Última atualização destes dados: 19 de junho de 2025


Metainformação associada ao quadro

Pessoal ao serviço (N.º) como sapadores florestais
Designação;Pessoal ao serviço (N.º) como sapadores florestais por Localização geográfica (NUTS - 2024) -  Anual
Periodicidade;Anual
Fonte;Instituto da Conservação da Natureza e das Florestas
Primeiro período disponível;1999
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2024)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;19-Jun-2025
